Week Ending 11th December 2010,,,,,,,,,,,,,
Original Fiction,,,,,,,,,,,,,
Index,Position,ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
17,1,9780007230204,Wolf Hall,"Mantel, Hilary",Fourth Estate,HarperCollins Grp,"302,522",1859947,9,6,Paperback,4 Mar 2010,F2.3  Historical & Mythological Fiction
48,2,9780141189383,Alone in Berlin,"Fallada, Hans",Penguin Classics,Penguin Grp,"189,638",1375108,10,7,Paperback,28 Jan 2010,F1.1  General & Literary Fiction
57,3,9780755375493,"Family,The","Cole, Martina",Headline Book Publishing,Headline Grp,"167,602",1602490,19,10,Hardback,14 Oct 2010,"F2.1  Crime, Thriller & Adventure"
126,4,9780593059791,Mini Shopaholic,"Kinsella, Sophie",Bantam Press,Transworld Grp,"109,351",1125576,19,10,Hardback,2 Sep 2010,F1.1  General & Literary Fiction
129,5,9781405092739,Heartstone,"Sansom, C. J.",Mantle,Pan Macmillan Grp,"107,521",1167459,19,11,Hardback,3 Sep 2010,F2.3  Historical & Mythological Fiction
139,6,9780593061534,Jump!,"Cooper, Jilly",Bantam Press,Transworld Grp,"104,481",1057548,19,10,Hardback,16 Sep 2010,F1.1  General & Literary Fiction
148,7,9780593065662,Worth Dying For:Jack Reacher Novel,"Child, Lee",Bantam Press,Transworld Grp,"101,004",1023883,19,10,Hardback,30 Sep 2010,"F2.1  Crime, Thriller & Adventure"
152,8,9781848873551,"Slap,The","Tsiolkas, Christos",Tuskar Rock,Grove Atlantic Grp,"98,875",999348,13,10,Paperback,1 May 2010,F1.1  General & Literary Fiction
171,9,9780593054277,"Lost Symbol,The","Brown, Dan",Bantam Press,Transworld Grp,"92,333",1102610,19,12,Hardback,15 Sep 2009,"F2.1  Crime, Thriller & Adventure"
173,10,9780593057063,61 Hours:Jack Reacher Novel,"Child, Lee",Bantam Press,Transworld Grp,"91,211",956256,19,10,Hardback,18 Mar 2010,"F2.1  Crime, Thriller & Adventure"
351,11,9780330450133,"Pillars of the Earth,The#","Follett, Ken",Pan Books,Pan Macmillan Grp,"90,306",566092,9,7,Paperback,6 Apr 2007,F1.1  General & Literary Fiction
194,12,9781846057151,"Confession,The","Grisham, John",Century,Random House Grp,"84,246",762970,19,9,Hardback,28 Oct 2010,F1.1  General & Literary Fiction
224,13,9781409113966,Minding Frankie,"Binchy, Maeve",Orion (an Imprint of The Orion,Orion Grp,"75,963",771218,19,10,Hardback,30 Sep 2010,F1.1  General & Literary Fiction
226,14,9780718156046,"Tiny Bit Marvellous,A","French, Dawn",Michael Joseph,Penguin Grp,"75,907",779188,19,10,Hardback,28 Oct 2010,F1.1  General & Literary Fiction
227,15,9781846054846,Paradise,"Price, Katie",Century,Random House Grp,"75,613",613107,15,8,Hardback,22 Jul 2010,F1.1  General & Literary Fiction
235,16,9780230710078,Fall of Giants,"Follett, Ken",Macmillan,Pan Macmillan Grp,"74,544",832507,20,11,Hardback,28 Sep 2010,F1.1  General & Literary Fiction
246,17,9781847374578,"Red Queen,The","Gregory, Philippa",Simon & Schuster Ltd,Simon & Schuster Grp,"73,040",797152,19,11,Hardback,19 Aug 2010,F2.3  Historical & Mythological Fiction
269,18,9781408702352,Port Mortuary,"Cornwell, Patricia","Little,Brown","Little, Brown Book Grp","66,412",678226,19,10,Hardback,28 Oct 2010,"F2.1  Crime, Thriller & Adventure"
279,19,9780575089327,Dead in the Family:A True Blood Novel,"Harris, Charlaine",Gollancz,Orion Grp,"64,694",589791,15,9,Hardback,10 Jun 2010,F2.2  Science Fiction & Fantasy
280,20,9781408808870,"Finkler Question,The","Jacobson, Howard",Bloomsbury Publishing PLC,Bloomsbury Grp,"64,542",822197,19,13,Hardback,2 Aug 2010,F1.1  General & Literary Fiction